Shen_ID	Size_voxels	Yeo7_ID	Yeo1_vox	Yeo1_per	Yeo2_vox	Yeo2_per	Yeo3_vox	Yeo3_per	Yeo4_vox	Yeo4_per	Yeo5_vox	Yeo5_per	Yeo6_vox	Yeo6_per	Yeo7_vox	Yeo7_per	Zero_vox	Zero_per
273	4656	4	NaN	NaN	1	0.0214776632302405	NaN	NaN	3389	72.7878006872852	NaN	NaN	98	2.10481099656357	23	0.493986254295533	1145	24.5919243986254
274	2655	1	2482	93.4839924670433	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19	0.71563088512241	154	5.80037664783428
275	4093	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	850	20.7671634497923	NaN	NaN	2642	64.5492303933545	601	14.6836061568532
276	2523	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2523	100
277	3376	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3376	100
278	3553	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2503	70.4475091471996	121	3.40557275541796	694	19.5327891922319	235	6.61412890515058
279	7586	3	2174	28.6580543105721	NaN	NaN	2017	26.5884524123385	NaN	NaN	NaN	NaN	NaN	NaN	2541	33.4959135249143	854	11.2575797521751
280	4828	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4405	91.2386081193041	NaN	NaN	423	8.76139188069594
281	4383	2	NaN	NaN	2173	49.5779146703171	658	15.0125484827744	1086	24.7775496235455	NaN	NaN	8	0.182523385808807	NaN	NaN	458	10.4494638375542
282	8143	2	NaN	NaN	6772	83.1634532727496	84	1.03156084980965	26	0.319292643988702	NaN	NaN	NaN	NaN	NaN	NaN	1261	15.485693233452
283	4540	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4540	100
284	2538	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2538	100
285	5189	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5189	100
286	1579	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1579	100
